"AGE_GROUP_ARAB","AGE_GROUP_ENGL","NATIONALITY_ARAB","NATIONALITY_ENGL","OBSVALUE_OBSV","SEX_ARAB","SEX_ENGL","YEAR_TIME"
"20-29","20-29","سعودي"," Saudi ","19789","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","1395","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","1705","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","7497","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","2283","ذكر","Male","1439"
"0-9","0-9","سعودي"," Saudi ","23868","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","45134","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","1451","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","1636","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","89","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","1435","أنثى","Female","1439"
"60-69","60-69","غير سعودي","Non Saudi","379","أنثى","Female","1440"
"10-19","10-19","سعودي"," Saudi ","10223","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","11201","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","36647","أنثى","Female","1440"
"0-9","0-9","غير سعودي","Non Saudi","15322","ذكر","Male","1440"
"20-29","20-29","غير سعودي","Non Saudi","5529","ذكر","Male","1441"
"40-49","40-49","غير سعودي","Non Saudi","5933","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","1666","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","3951","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","11026","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","22102","أنثى","Female","1441"
"40-49","40-49","سعودي"," Saudi ","104872","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","1633","أنثى","Female","1441"
"10-19","10-19","سعودي"," Saudi ","142","ذكر","Male","1441"
"20-29","20-29","سعودي"," Saudi ","64742","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","3685","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","1037","أنثى","Female","1441"
"20-29","20-29","سعودي"," Saudi ","8039","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","9421","ذكر","Male","1440"
"0-9","0-9","غير سعودي","Non Saudi","1493","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","5862","ذكر","Male","1439"
"70+","70+","سعودي"," Saudi ","109","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","2192","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","22241","ذكر","Male","1439"
"0-9","0-9","سعودي"," Saudi ","794","ذكر","Male","1439"
"50-59","50-59","غير سعودي","Non Saudi","306","أنثى","Female","1439"
"40-49","40-49","سعودي"," Saudi ","221","أنثى","Female","1441"
"70+","70+","غير سعودي","Non Saudi","418","ذكر","Male","1439"
"70+","70+","سعودي"," Saudi ","4662","أنثى","Female","1440"
"30-39","30-39","سعودي"," Saudi ","3136","ذكر","Male","1441"
"20-29","20-29","سعودي"," Saudi ","12020","أنثى","Female","1440"
"40-49","40-49","سعودي"," Saudi ","22189","ذكر","Male","1440"
"30-39","30-39","غير سعودي","Non Saudi","6908","أنثى","Female","1441"
"0-9","0-9","سعودي"," Saudi ","8906","أنثى","Female","1439"
"20-29","20-29","غير سعودي","Non Saudi","189","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","11293","ذكر","Male","1441"
"0-9","0-9","غير سعودي","Non Saudi","2934","أنثى","Female","1440"
"50-59","50-59","غير سعودي","Non Saudi","7740","أنثى","Female","1441"
"60-69","60-69","سعودي"," Saudi ","939","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","261","أنثى","Female","1441"
"0-9","0-9","سعودي"," Saudi ","4085","أنثى","Female","1441"
"0-9","0-9","سعودي"," Saudi ","408","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","3854","ذكر","Male","1439"
"70+","70+","غير سعودي","Non Saudi","599","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","28775","ذكر","Male","1440"
"20-29","20-29","غير سعودي","Non Saudi","14785","ذكر","Male","1440"
"70+","70+","سعودي"," Saudi ","5274","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","415865","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","650","ذكر","Male","1440"
"30-39","30-39","غير سعودي","Non Saudi","16275","ذكر","Male","1439"
"0-9","0-9","سعودي"," Saudi ","4830","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","817","ذكر","Male","1441"
"10-19","10-19","سعودي"," Saudi ","211","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","5831","ذكر","Male","1439"
"50-59","50-59","غير سعودي","Non Saudi","657","ذكر","Male","1440"
"0-9","0-9","غير سعودي","Non Saudi","2674","أنثى","Female","1440"
"30-39","30-39","سعودي"," Saudi ","2215","ذكر","Male","1440"
"60-69","60-69","غير سعودي","Non Saudi","3664","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","608","أنثى","Female","1439"
"40-49","40-49","سعودي"," Saudi ","2032","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","479","ذكر","Male","1441"
"60-69","60-69","سعودي"," Saudi ","71","ذكر","Male","1441"
"20-29","20-29","غير سعودي","Non Saudi","1211","أنثى","Female","1440"
"60-69","60-69","سعودي"," Saudi ","484","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","174","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","169","ذكر","Male","1441"
"60-69","60-69","سعودي"," Saudi ","469","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","84991","ذكر","Male","1440"
"30-39","30-39","سعودي"," Saudi ","50082","ذكر","Male","1440"
"20-29","20-29","غير سعودي","Non Saudi","14814","أنثى","Female","1439"
"10-19","10-19","سعودي"," Saudi ","624","ذكر","Male","1440"
"10-19","10-19","سعودي"," Saudi ","761","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","275","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","220","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","818","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","455","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","1453","أنثى","Female","1441"
"70+","70+","غير سعودي","Non Saudi","1356","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","551","أنثى","Female","1440"
"10-19","10-19","سعودي"," Saudi ","712","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","4299","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","2048","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","1244","أنثى","Female","1441"
"10-19","10-19","سعودي"," Saudi ","4232","ذكر","Male","1439"
"20-29","20-29","غير سعودي","Non Saudi","71680","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","4738","أنثى","Female","1441"
"40-49","40-49","سعودي"," Saudi ","24221","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","12056","أنثى","Female","1441"
"30-39","30-39","سعودي"," Saudi ","1776","ذكر","Male","1440"
"30-39","30-39","سعودي"," Saudi ","739","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","2715","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","2662","أنثى","Female","1440"
"40-49","40-49","سعودي"," Saudi ","9359","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","3242","أنثى","Female","1441"
"10-19","10-19","غير سعودي","Non Saudi","416","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","141","أنثى","Female","1441"
"50-59","50-59","غير سعودي","Non Saudi","224","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","528","ذكر","Male","1441"
"30-39","30-39","سعودي"," Saudi ","1542","ذكر","Male","1440"
"30-39","30-39","غير سعودي","Non Saudi","1518","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","1400","أنثى","Female","1440"
"60-69","60-69","غير سعودي","Non Saudi","916","ذكر","Male","1441"
"60-69","60-69","سعودي"," Saudi ","715","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","563","أنثى","Female","1439"
"70+","70+","سعودي"," Saudi ","557","ذكر","Male","1441"
"70+","70+","غير سعودي","Non Saudi","2412","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","29923","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","22080","ذكر","Male","1439"
"50-59","50-59","سعودي"," Saudi ","15564","أنثى","Female","1440"
"70+","70+","غير سعودي","Non Saudi","14761","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","5538","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","7493","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","3693","أنثى","Female","1441"
"10-19","10-19","غير سعودي","Non Saudi","328","أنثى","Female","1440"
"10-19","10-19","غير سعودي","Non Saudi","190","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","145","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","2461","أنثى","Female","1440"
"70+","70+","غير سعودي","Non Saudi","330","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","839","ذكر","Male","1441"
"70+","70+","غير سعودي","Non Saudi","3535","ذكر","Male","1439"
"70+","70+","سعودي"," Saudi ","506","أنثى","Female","1439"
"70+","70+","غير سعودي","Non Saudi","368","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","11317","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","261","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","7208","ذكر","Male","1439"
"0-9","0-9","غير سعودي","Non Saudi","154","أنثى","Female","1439"
"30-39","30-39","غير سعودي","Non Saudi","293","أنثى","Female","1440"
"30-39","30-39","سعودي"," Saudi ","561","أنثى","Female","1441"
"40-49","40-49","سعودي"," Saudi ","12814","ذكر","Male","1441"
"10-19","10-19","سعودي"," Saudi ","61635","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","27743","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","4263","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","26235","أنثى","Female","1440"
"40-49","40-49","سعودي"," Saudi ","3908","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","7823","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","2888","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","5447","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","3150","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","266","أنثى","Female","1441"
"50-59","50-59","سعودي"," Saudi ","1564","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","1545","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","216","ذكر","Male","1440"
"10-19","10-19","غير سعودي","Non Saudi","146","ذكر","Male","1441"
"10-19","10-19","غير سعودي","Non Saudi","262","ذكر","Male","1440"
"20-29","20-29","غير سعودي","Non Saudi","331","أنثى","Female","1439"
"30-39","30-39","سعودي"," Saudi ","6908","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","4702","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","257963","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","45082","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","10185","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","10346","أنثى","Female","1440"
"40-49","40-49","غير سعودي","Non Saudi","3465","ذكر","Male","1439"
"50-59","50-59","غير سعودي","Non Saudi","562","أنثى","Female","1440"
"0-9","0-9","غير سعودي","Non Saudi","1153","أنثى","Female","1439"
"20-29","20-29","غير سعودي","Non Saudi","316","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","950","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","258","ذكر","Male","1440"
"10-19","10-19","غير سعودي","Non Saudi","61","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","1476","ذكر","Male","1441"
"60-69","60-69","غير سعودي","Non Saudi","2945","ذكر","Male","1441"
"10-19","10-19","غير سعودي","Non Saudi","8744","ذكر","Male","1440"
"10-19","10-19","سعودي"," Saudi ","2214","ذكر","Male","1440"
"50-59","50-59","سعودي"," Saudi ","48302","أنثى","Female","1439"
"40-49","40-49","سعودي"," Saudi ","12631","أنثى","Female","1439"
"10-19","10-19","سعودي"," Saudi ","19379","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","39202","أنثى","Female","1440"
"30-39","30-39","سعودي"," Saudi ","16767","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","494","أنثى","Female","1440"
"30-39","30-39","سعودي"," Saudi ","473","ذكر","Male","1441"
"30-39","30-39","سعودي"," Saudi ","8778","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","960","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","4539","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","369","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","562","أنثى","Female","1441"
"20-29","20-29","غير سعودي","Non Saudi","97","أنثى","Female","1441"
"0-9","0-9","سعودي"," Saudi ","3697","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","7426","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","200256","أنثى","Female","1439"
"10-19","10-19","سعودي"," Saudi ","16113","أنثى","Female","1440"
"40-49","40-49","غير سعودي","Non Saudi","17990","أنثى","Female","1441"
"0-9","0-9","غير سعودي","Non Saudi","5326","ذكر","Male","1439"
"0-9","0-9","غير سعودي","Non Saudi","2826","ذكر","Male","1441"
"50-59","50-59","غير سعودي","Non Saudi","1007","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","276","ذكر","Male","1441"
"50-59","50-59","غير سعودي","Non Saudi","433","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","1177","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","2822","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","394","أنثى","Female","1439"
"40-49","40-49","سعودي"," Saudi ","12049","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","31547","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","15032","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","8165","ذكر","Male","1441"
"40-49","40-49","غير سعودي","Non Saudi","6688","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","13536","أنثى","Female","1439"
"20-29","20-29","سعودي"," Saudi ","27448","ذكر","Male","1439"
"50-59","50-59","غير سعودي","Non Saudi","9101","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","1502","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","1606","ذكر","Male","1439"
"50-59","50-59","سعودي"," Saudi ","13968","أنثى","Female","1440"
"10-19","10-19","سعودي"," Saudi ","7820","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","208","ذكر","Male","1439"
"20-29","20-29","غير سعودي","Non Saudi","660","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","356","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","7398","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","3752","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","10386","أنثى","Female","1439"
"30-39","30-39","سعودي"," Saudi ","50889","ذكر","Male","1439"
"60-69","60-69","غير سعودي","Non Saudi","5059","ذكر","Male","1439"
"50-59","50-59","غير سعودي","Non Saudi","2646","ذكر","Male","1440"
"70+","70+","سعودي"," Saudi ","4355","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","1184","ذكر","Male","1441"
"30-39","30-39","سعودي"," Saudi ","1299","أنثى","Female","1441"
"50-59","50-59","غير سعودي","Non Saudi","30134","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","64231","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","2895","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","1738","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","868","ذكر","Male","1440"
"10-19","10-19","سعودي"," Saudi ","3064","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","7821","ذكر","Male","1440"
"70+","70+","غير سعودي","Non Saudi","3176","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","8824","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","2141","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","1137","أنثى","Female","1441"
"30-39","30-39","غير سعودي","Non Saudi","1848","أنثى","Female","1441"
"60-69","60-69","سعودي"," Saudi ","783","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","493","ذكر","Male","1440"
"10-19","10-19","غير سعودي","Non Saudi","140","أنثى","Female","1441"
"20-29","20-29","سعودي"," Saudi ","896","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","917","ذكر","Male","1440"
"30-39","30-39","سعودي"," Saudi ","162970","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","44768","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","490","أنثى","Female","1439"
"30-39","30-39","سعودي"," Saudi ","820","ذكر","Male","1441"
"60-69","60-69","سعودي"," Saudi ","291","أنثى","Female","1439"
"70+","70+","غير سعودي","Non Saudi","1531","أنثى","Female","1439"
"60-69","60-69","غير سعودي","Non Saudi","471","أنثى","Female","1441"
"0-9","0-9","سعودي"," Saudi ","1228","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","14906","ذكر","Male","1439"
"70+","70+","سعودي"," Saudi ","1496","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","568","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","625","أنثى","Female","1440"
"10-19","10-19","غير سعودي","Non Saudi","4535","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","2002","أنثى","Female","1441"
"30-39","30-39","سعودي"," Saudi ","7893","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","2506","ذكر","Male","1439"
"0-9","0-9","غير سعودي","Non Saudi","70019","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","16356","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","26835","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","64563","ذكر","Male","1440"
"30-39","30-39","سعودي"," Saudi ","5715","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","731","أنثى","Female","1439"
"40-49","40-49","سعودي"," Saudi ","2812","أنثى","Female","1441"
"30-39","30-39","سعودي"," Saudi ","9904","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","2532","ذكر","Male","1439"
"70+","70+","غير سعودي","Non Saudi","115","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","25","أنثى","Female","1440"
"10-19","10-19","سعودي"," Saudi ","8433","ذكر","Male","1440"
"10-19","10-19","سعودي"," Saudi ","9556","أنثى","Female","1439"
"30-39","30-39","سعودي"," Saudi ","606","ذكر","Male","1441"
"10-19","10-19","سعودي"," Saudi ","7512","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","453352","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","12346","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","6951","أنثى","Female","1441"
"60-69","60-69","سعودي"," Saudi ","1286","أنثى","Female","1439"
"10-19","10-19","سعودي"," Saudi ","2061","أنثى","Female","1439"
"20-29","20-29","غير سعودي","Non Saudi","1092","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","3104","ذكر","Male","1439"
"70+","70+","سعودي"," Saudi ","911","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","154","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","268","ذكر","Male","1439"
"70+","70+","سعودي"," Saudi ","1481","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","500","أنثى","Female","1441"
"0-9","0-9","غير سعودي","Non Saudi","95","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","7981","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","1392","أنثى","Female","1439"
"20-29","20-29","غير سعودي","Non Saudi","18383","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","122550","أنثى","Female","1440"
"60-69","60-69","غير سعودي","Non Saudi","615","أنثى","Female","1440"
"60-69","60-69","غير سعودي","Non Saudi","9476","ذكر","Male","1440"
"50-59","50-59","سعودي"," Saudi ","2346","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","9391","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","1807","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","134","ذكر","Male","1441"
"10-19","10-19","سعودي"," Saudi ","1126","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","1246","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","1341","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","10242","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","18124","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","2030","ذكر","Male","1439"
"0-9","0-9","غير سعودي","Non Saudi","1055","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","5130","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","727","أنثى","Female","1440"
"40-49","40-49","غير سعودي","Non Saudi","140604","ذكر","Male","1440"
"30-39","30-39","غير سعودي","Non Saudi","42210","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","6351","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","11182","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","645","أنثى","Female","1440"
"40-49","40-49","سعودي"," Saudi ","5662","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","635","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","4177","أنثى","Female","1440"
"10-19","10-19","غير سعودي","Non Saudi","1996","ذكر","Male","1440"
"10-19","10-19","غير سعودي","Non Saudi","1047","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","3985","أنثى","Female","1441"
"40-49","40-49","غير سعودي","Non Saudi","201","أنثى","Female","1440"
"40-49","40-49","سعودي"," Saudi ","5924","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","9358","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","1289","أنثى","Female","1439"
"10-19","10-19","غير سعودي","Non Saudi","291","أنثى","Female","1441"
"0-9","0-9","سعودي"," Saudi ","5587","أنثى","Female","1439"
"20-29","20-29","غير سعودي","Non Saudi","8363","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","38812","أنثى","Female","1439"
"30-39","30-39","غير سعودي","Non Saudi","4497","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","3027","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","7734","ذكر","Male","1441"
"40-49","40-49","سعودي"," Saudi ","3323","أنثى","Female","1441"
"20-29","20-29","سعودي"," Saudi ","2530","ذكر","Male","1441"
"10-19","10-19","سعودي"," Saudi ","2090","ذكر","Male","1440"
"60-69","60-69","غير سعودي","Non Saudi","1936","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","7104","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","220","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","158","أنثى","Female","1439"
"70+","70+","غير سعودي","Non Saudi","771","ذكر","Male","1440"
"0-9","0-9","غير سعودي","Non Saudi","99","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","39105","ذكر","Male","1439"
"50-59","50-59","سعودي"," Saudi ","9166","ذكر","Male","1439"
