"AGE_GROUP_ARAB","AGE_GROUP_ENGL","NATIONALITY_ARAB","NATIONALITY_ENGL","OBSVALUE_OBSV","SEX_ARAB","SEX_ENGL","YEAR_TIME"
"0-9","0-9","سعودي"," Saudi ","761","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","8511","أنثى","Female","1439"
"10-19","10-19","سعودي"," Saudi ","16501","ذكر","Male","1439"
"60-69","60-69","غير سعودي","Non Saudi","757","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","815","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","1855","أنثى","Female","1439"
"30-39","30-39","سعودي"," Saudi ","2975","أنثى","Female","1441"
"20-29","20-29","غير سعودي","Non Saudi","10241","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","472","ذكر","Male","1441"
"50-59","50-59","غير سعودي","Non Saudi","149","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","735","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","1648","ذكر","Male","1440"
"60-69","60-69","غير سعودي","Non Saudi","576","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","45900","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","921","ذكر","Male","1440"
"10-19","10-19","سعودي"," Saudi ","45536","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","4980","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","6344","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","94910","أنثى","Female","1440"
"60-69","60-69","سعودي"," Saudi ","4698","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","69949","ذكر","Male","1440"
"20-29","20-29","غير سعودي","Non Saudi","10323","أنثى","Female","1441"
"10-19","10-19","سعودي"," Saudi ","28804","أنثى","Female","1439"
"40-49","40-49","سعودي"," Saudi ","683","ذكر","Male","1441"
"30-39","30-39","سعودي"," Saudi ","2551","أنثى","Female","1439"
"70+","70+","سعودي"," Saudi ","3441","أنثى","Female","1439"
"10-19","10-19","سعودي"," Saudi ","151","ذكر","Male","1441"
"40-49","40-49","غير سعودي","Non Saudi","9383","ذكر","Male","1440"
"30-39","30-39","غير سعودي","Non Saudi","9157","ذكر","Male","1441"
"20-29","20-29","غير سعودي","Non Saudi","1245","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","12881","ذكر","Male","1440"
"20-29","20-29","غير سعودي","Non Saudi","2975","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","159","ذكر","Male","1441"
"10-19","10-19","غير سعودي","Non Saudi","761","ذكر","Male","1439"
"70+","70+","سعودي"," Saudi ","1337","ذكر","Male","1440"
"60-69","60-69","غير سعودي","Non Saudi","1442","أنثى","Female","1439"
"30-39","30-39","سعودي"," Saudi ","11337","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","21338","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","29650","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","98578","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","3657","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","24929","أنثى","Female","1439"
"70+","70+","غير سعودي","Non Saudi","2246","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","2388","أنثى","Female","1439"
"30-39","30-39","غير سعودي","Non Saudi","1378","أنثى","Female","1439"
"20-29","20-29","غير سعودي","Non Saudi","1557","ذكر","Male","1440"
"50-59","50-59","سعودي"," Saudi ","6921","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","282","ذكر","Male","1439"
"70+","70+","سعودي"," Saudi ","96","ذكر","Male","1441"
"0-9","0-9","غير سعودي","Non Saudi","485","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","1292","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","719","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","334","أنثى","Female","1440"
"10-19","10-19","سعودي"," Saudi ","1236","أنثى","Female","1439"
"20-29","20-29","سعودي"," Saudi ","7816","أنثى","Female","1439"
"10-19","10-19","سعودي"," Saudi ","708","ذكر","Male","1441"
"40-49","40-49","سعودي"," Saudi ","16968","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","3146","أنثى","Female","1441"
"40-49","40-49","غير سعودي","Non Saudi","20237","ذكر","Male","1439"
"70+","70+","غير سعودي","Non Saudi","3277","أنثى","Female","1439"
"30-39","30-39","سعودي"," Saudi ","7481","ذكر","Male","1441"
"40-49","40-49","سعودي"," Saudi ","733","أنثى","Female","1440"
"0-9","0-9","غير سعودي","Non Saudi","273","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","6144","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","692","أنثى","Female","1439"
"30-39","30-39","غير سعودي","Non Saudi","200","أنثى","Female","1441"
"0-9","0-9","سعودي"," Saudi ","785","ذكر","Male","1440"
"10-19","10-19","غير سعودي","Non Saudi","2020","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","1589","أنثى","Female","1441"
"40-49","40-49","سعودي"," Saudi ","640","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","277","ذكر","Male","1441"
"20-29","20-29","غير سعودي","Non Saudi","4951","أنثى","Female","1441"
"60-69","60-69","سعودي"," Saudi ","879","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","3129","ذكر","Male","1439"
"50-59","50-59","غير سعودي","Non Saudi","2169","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","1000","أنثى","Female","1441"
"50-59","50-59","غير سعودي","Non Saudi","12243","ذكر","Male","1440"
"0-9","0-9","غير سعودي","Non Saudi","1176","ذكر","Male","1439"
"50-59","50-59","سعودي"," Saudi ","3054","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","6066","أنثى","Female","1439"
"70+","70+","سعودي"," Saudi ","70","ذكر","Male","1441"
"40-49","40-49","سعودي"," Saudi ","1776","أنثى","Female","1441"
"60-69","60-69","غير سعودي","Non Saudi","364","ذكر","Male","1440"
"20-29","20-29","غير سعودي","Non Saudi","5692","ذكر","Male","1440"
"30-39","30-39","سعودي"," Saudi ","1897","أنثى","Female","1439"
"30-39","30-39","غير سعودي","Non Saudi","1561","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","24285","أنثى","Female","1439"
"20-29","20-29","غير سعودي","Non Saudi","2450","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","658","أنثى","Female","1441"
"40-49","40-49","سعودي"," Saudi ","601","أنثى","Female","1441"
"0-9","0-9","سعودي"," Saudi ","454","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","2451","ذكر","Male","1440"
"50-59","50-59","سعودي"," Saudi ","6987","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","1004","أنثى","Female","1441"
"10-19","10-19","سعودي"," Saudi ","1550","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","781","ذكر","Male","1440"
"70+","70+","سعودي"," Saudi ","217","ذكر","Male","1439"
"50-59","50-59","غير سعودي","Non Saudi","19129","ذكر","Male","1440"
"20-29","20-29","غير سعودي","Non Saudi","23341","أنثى","Female","1440"
"0-9","0-9","غير سعودي","Non Saudi","119","أنثى","Female","1440"
"10-19","10-19","سعودي"," Saudi ","1843","ذكر","Male","1440"
"0-9","0-9","غير سعودي","Non Saudi","19953","أنثى","Female","1440"
"30-39","30-39","سعودي"," Saudi ","115250","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","2881","أنثى","Female","1441"
"30-39","30-39","سعودي"," Saudi ","3428","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","1383","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","6585","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","1864","أنثى","Female","1441"
"30-39","30-39","غير سعودي","Non Saudi","1425","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","1578","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","1556","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","1556","ذكر","Male","1440"
"20-29","20-29","غير سعودي","Non Saudi","1805","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","187","أنثى","Female","1439"
"70+","70+","سعودي"," Saudi ","461","أنثى","Female","1439"
"10-19","10-19","غير سعودي","Non Saudi","707","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","912","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","452","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","158","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","3331","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","19293","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","921","أنثى","Female","1439"
"40-49","40-49","سعودي"," Saudi ","590","ذكر","Male","1441"
"0-9","0-9","غير سعودي","Non Saudi","989","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","6591","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","17047","ذكر","Male","1440"
"30-39","30-39","غير سعودي","Non Saudi","11127","أنثى","Female","1439"
"40-49","40-49","سعودي"," Saudi ","5037","ذكر","Male","1439"
"20-29","20-29","غير سعودي","Non Saudi","4134","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","772","أنثى","Female","1439"
"60-69","60-69","غير سعودي","Non Saudi","14784","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","2085","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","3715","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","4579","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","194","أنثى","Female","1440"
"0-9","0-9","غير سعودي","Non Saudi","478","أنثى","Female","1440"
"50-59","50-59","غير سعودي","Non Saudi","357","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","1173","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","4844","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","3452","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","917","أنثى","Female","1440"
"0-9","0-9","غير سعودي","Non Saudi","3317","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","8914","أنثى","Female","1439"
"10-19","10-19","سعودي"," Saudi ","4050","أنثى","Female","1441"
"20-29","20-29","غير سعودي","Non Saudi","264","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","161","أنثى","Female","1441"
"50-59","50-59","سعودي"," Saudi ","6797","أنثى","Female","1440"
"10-19","10-19","سعودي"," Saudi ","167","أنثى","Female","1441"
"20-29","20-29","سعودي"," Saudi ","6827","أنثى","Female","1440"
"40-49","40-49","غير سعودي","Non Saudi","15617","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","174","ذكر","Male","1441"
"60-69","60-69","غير سعودي","Non Saudi","652","ذكر","Male","1441"
"40-49","40-49","سعودي"," Saudi ","1235","ذكر","Male","1439"
"50-59","50-59","سعودي"," Saudi ","643","ذكر","Male","1440"
"10-19","10-19","غير سعودي","Non Saudi","5628","ذكر","Male","1440"
"30-39","30-39","سعودي"," Saudi ","153322","ذكر","Male","1440"
"60-69","60-69","غير سعودي","Non Saudi","2550","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","39772","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","5743","ذكر","Male","1441"
"0-9","0-9","غير سعودي","Non Saudi","8397","ذكر","Male","1439"
"70+","70+","سعودي"," Saudi ","292","ذكر","Male","1439"
"60-69","60-69","غير سعودي","Non Saudi","4129","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","1137","ذكر","Male","1441"
"20-29","20-29","غير سعودي","Non Saudi","2590","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","2711","أنثى","Female","1439"
"60-69","60-69","غير سعودي","Non Saudi","5091","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","434","ذكر","Male","1441"
"60-69","60-69","سعودي"," Saudi ","245","ذكر","Male","1441"
"20-29","20-29","سعودي"," Saudi ","19813","أنثى","Female","1439"
"20-29","20-29","غير سعودي","Non Saudi","11981","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","17192","ذكر","Male","1440"
"20-29","20-29","غير سعودي","Non Saudi","74915","أنثى","Female","1439"
"10-19","10-19","سعودي"," Saudi ","52112","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","3510","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","22236","ذكر","Male","1441"
"60-69","60-69","سعودي"," Saudi ","4050","أنثى","Female","1441"
"30-39","30-39","غير سعودي","Non Saudi","532","ذكر","Male","1441"
"60-69","60-69","سعودي"," Saudi ","7793","أنثى","Female","1440"
"40-49","40-49","غير سعودي","Non Saudi","5022","ذكر","Male","1441"
"20-29","20-29","غير سعودي","Non Saudi","1937","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","314","ذكر","Male","1441"
"20-29","20-29","غير سعودي","Non Saudi","90","ذكر","Male","1441"
"50-59","50-59","غير سعودي","Non Saudi","587","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","4822","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","8138","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","1417","ذكر","Male","1439"
"50-59","50-59","غير سعودي","Non Saudi","256","ذكر","Male","1441"
"40-49","40-49","غير سعودي","Non Saudi","1550","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","294","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","375","أنثى","Female","1439"
"30-39","30-39","غير سعودي","Non Saudi","8961","أنثى","Female","1439"
"20-29","20-29","سعودي"," Saudi ","99352","أنثى","Female","1440"
"40-49","40-49","سعودي"," Saudi ","90741","أنثى","Female","1439"
"10-19","10-19","سعودي"," Saudi ","4360","ذكر","Male","1441"
"10-19","10-19","غير سعودي","Non Saudi","1276","ذكر","Male","1441"
"10-19","10-19","غير سعودي","Non Saudi","845","أنثى","Female","1440"
"10-19","10-19","سعودي"," Saudi ","396","أنثى","Female","1439"
"10-19","10-19","غير سعودي","Non Saudi","59","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","54","أنثى","Female","1441"
"20-29","20-29","غير سعودي","Non Saudi","1270","أنثى","Female","1439"
"20-29","20-29","سعودي"," Saudi ","358","أنثى","Female","1441"
"10-19","10-19","غير سعودي","Non Saudi","448","أنثى","Female","1441"
"40-49","40-49","غير سعودي","Non Saudi","95","أنثى","Female","1441"
"60-69","60-69","غير سعودي","Non Saudi","1435","ذكر","Male","1440"
"20-29","20-29","غير سعودي","Non Saudi","9392","ذكر","Male","1439"
"0-9","0-9","غير سعودي","Non Saudi","290","ذكر","Male","1439"
"50-59","50-59","غير سعودي","Non Saudi","2895","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","21113","أنثى","Female","1440"
"0-9","0-9","غير سعودي","Non Saudi","71329","ذكر","Male","1439"
"60-69","60-69","غير سعودي","Non Saudi","21431","أنثى","Female","1440"
"10-19","10-19","غير سعودي","Non Saudi","1892","ذكر","Male","1440"
"70+","70+","غير سعودي","Non Saudi","21855","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","30556","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","5382","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","2850","أنثى","Female","1441"
"30-39","30-39","سعودي"," Saudi ","13049","ذكر","Male","1441"
"10-19","10-19","سعودي"," Saudi ","7987","أنثى","Female","1441"
"10-19","10-19","سعودي"," Saudi ","1299","أنثى","Female","1439"
"20-29","20-29","غير سعودي","Non Saudi","756","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","796","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","1016","أنثى","Female","1441"
"50-59","50-59","سعودي"," Saudi ","2009","أنثى","Female","1439"
"60-69","60-69","غير سعودي","Non Saudi","1164","ذكر","Male","1439"
"70+","70+","غير سعودي","Non Saudi","373","أنثى","Female","1441"
"10-19","10-19","سعودي"," Saudi ","1182","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","2953","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","2280","ذكر","Male","1441"
"60-69","60-69","سعودي"," Saudi ","1504","ذكر","Male","1439"
"70+","70+","سعودي"," Saudi ","923","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","387","أنثى","Female","1441"
"70+","70+","غير سعودي","Non Saudi","3278","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","1161","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","55","أنثى","Female","1441"
"0-9","0-9","غير سعودي","Non Saudi","3872","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","8388","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","2533","أنثى","Female","1440"
"40-49","40-49","سعودي"," Saudi ","112302","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","18905","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","3900","أنثى","Female","1441"
"40-49","40-49","سعودي"," Saudi ","10852","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","313","أنثى","Female","1440"
"60-69","60-69","سعودي"," Saudi ","867","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","588","ذكر","Male","1439"
"50-59","50-59","غير سعودي","Non Saudi","241","أنثى","Female","1440"
"30-39","30-39","سعودي"," Saudi ","8781","أنثى","Female","1440"
"40-49","40-49","سعودي"," Saudi ","12890","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","21197","أنثى","Female","1440"
"40-49","40-49","سعودي"," Saudi ","1081","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","15909","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","12912","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","4489","ذكر","Male","1441"
"30-39","30-39","سعودي"," Saudi ","6114","ذكر","Male","1440"
"10-19","10-19","سعودي"," Saudi ","612","أنثى","Female","1441"
"0-9","0-9","غير سعودي","Non Saudi","185","أنثى","Female","1440"
"10-19","10-19","سعودي"," Saudi ","421","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","1386","ذكر","Male","1441"
"70+","70+","غير سعودي","Non Saudi","1166","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","797","أنثى","Female","1441"
"60-69","60-69","سعودي"," Saudi ","149","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","584","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","17717","أنثى","Female","1439"
"20-29","20-29","سعودي"," Saudi ","576","ذكر","Male","1441"
"40-49","40-49","سعودي"," Saudi ","28143","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","37485","ذكر","Male","1440"
"10-19","10-19","سعودي"," Saudi ","11732","أنثى","Female","1439"
"30-39","30-39","سعودي"," Saudi ","119801","أنثى","Female","1440"
"40-49","40-49","غير سعودي","Non Saudi","2830","أنثى","Female","1441"
"60-69","60-69","غير سعودي","Non Saudi","62296","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","1154","ذكر","Male","1439"
"70+","70+","سعودي"," Saudi ","1037","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","4030","أنثى","Female","1440"
"60-69","60-69","سعودي"," Saudi ","6101","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","808","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","697","أنثى","Female","1439"
"10-19","10-19","غير سعودي","Non Saudi","1766","ذكر","Male","1439"
"20-29","20-29","غير سعودي","Non Saudi","764","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","251","ذكر","Male","1440"
"30-39","30-39","سعودي"," Saudi ","4392","ذكر","Male","1441"
"40-49","40-49","غير سعودي","Non Saudi","9599","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","7520","ذكر","Male","1439"
"0-9","0-9","سعودي"," Saudi ","2701","أنثى","Female","1439"
"30-39","30-39","غير سعودي","Non Saudi","157831","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","14651","ذكر","Male","1440"
"30-39","30-39","غير سعودي","Non Saudi","5825","أنثى","Female","1439"
"30-39","30-39","سعودي"," Saudi ","11786","ذكر","Male","1441"
"30-39","30-39","سعودي"," Saudi ","1154","ذكر","Male","1441"
"70+","70+","غير سعودي","Non Saudi","2055","أنثى","Female","1440"
"50-59","50-59","غير سعودي","Non Saudi","1393","ذكر","Male","1440"
"0-9","0-9","غير سعودي","Non Saudi","190","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","1870","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","317","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","201","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","3696","ذكر","Male","1441"
"50-59","50-59","غير سعودي","Non Saudi","52","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","405","أنثى","Female","1441"
"40-49","40-49","غير سعودي","Non Saudi","5456","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","3586","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","4968","أنثى","Female","1439"
"30-39","30-39","غير سعودي","Non Saudi","4142","ذكر","Male","1440"
"10-19","10-19","سعودي"," Saudi ","72257","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","1897","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","19272","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","19942","ذكر","Male","1440"
"10-19","10-19","غير سعودي","Non Saudi","8553","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","295","أنثى","Female","1441"
"70+","70+","غير سعودي","Non Saudi","790","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","3333","ذكر","Male","1439"
"0-9","0-9","سعودي"," Saudi ","270","ذكر","Male","1441"
"50-59","50-59","غير سعودي","Non Saudi","383","ذكر","Male","1441"
"70+","70+","غير سعودي","Non Saudi","660","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","14224","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","6655","أنثى","Female","1440"
"10-19","10-19","غير سعودي","Non Saudi","5317","أنثى","Female","1440"
"40-49","40-49","سعودي"," Saudi ","45985","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","2027","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","7014","ذكر","Male","1441"
"10-19","10-19","سعودي"," Saudi ","7134","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","1067","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","623","أنثى","Female","1441"
"60-69","60-69","سعودي"," Saudi ","1184","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","336","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","285","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","5284","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","2763","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","3941","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","36324","ذكر","Male","1440"
"0-9","0-9","غير سعودي","Non Saudi","3437","ذكر","Male","1440"
"10-19","10-19","غير سعودي","Non Saudi","5795","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","2873","ذكر","Male","1441"
"0-9","0-9","غير سعودي","Non Saudi","17297","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","3536","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","107844","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","8178","ذكر","Male","1440"
